index,x,y
1,0.0861817004883419,0.0559506445380746
2,0.9077205159488284,0.0464628194448384
3,0.0851911067025001,0.9410668554819868
4,0.9173013785064548,0.9372370082950533
5,0.3590535664214353,0.0473229154696009
6,0.6362623014215779,0.0629506467755148
7,0.3604811521600588,0.9488361195607158
8,0.6432361560784791,0.9467576941287122
9,0.0616914503276103,0.2998335587229522
10,0.9274196902761936,0.2782601564662863
11,0.1157653760635336,0.7344163968705778
12,0.8749602484315111,0.7406524932259448
13,0.3794649586520961,0.3533483759990582
14,0.4938353222040420,0.6628306540048662
15,0.1133048269511152,0.5370919592552212
16,0.9123971677902634,0.5337819021143172
17,0.6422024119925215,0.4101699120268502
